Job Title,Job Function,Job Level
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Founder and Chief Executive Officer or E-commerce Services Marketplace,"Management,Services,Marketing",Executive
Senior Vice President Platforms and Strategy,"Management,Strategy",Executive
Vice President Business Development and Sales,"Management,Business,Sales",Executive
General Counsel,Other,Other
Member Board of Directors,Other,Manager
Partner,Management,Executive
AVP - Worldwide Integrated Demand Marketing,Marketing,Other
Vice President of Marketing,"Management,Marketing",Executive
Marketing Consultant,"Consultant Services,Marketing",Consultant
Vice President of Marketing,"Management,Marketing",Executive
Senior Category Business Director,Business,Manager
Senior Category Business Director,Business,Manager
Executive Marketing Director,"Management,Marketing",Executive
Vice President Digital Advertising Sales and Business Development,"Management,Business,Sales,Advertising",Executive
Vice President Digital Ad Sales,"Management,Sales",Executive
Chief Digital Revenue Officer,Management,Executive
Vice President Product Management,"Management,Products",Executive
Design Consultant,Consultant Services,Consultant
Partner and Head of Healthcare,Management,Executive
Senior Vice President or Director of Talent Management/HR,"Management,HR",Executive
Senior Director Lead HR Business Partner and Head of Organizational Performance,"Management,Business",Executive
Consultant,Consultant Services,Consultant
Chief Executive Officer,Management,Executive
Associate Publisher Head of Brand Development and Marketing,"Consultant Services,Marketing",Contributor
Senior Vice President Conceptual Innovation,Management,Executive
PRESIDENT and General Manager - Evian Badoit Volvic Premium Waters,Management,Executive
General Manager Sports Fitness and Outdoor,Management,Manager
General Manager International,Management,Manager
Director of Marketing,Marketing,Manager
Marketing Director,Marketing,Manager
Managing Director,Management,Manager
Director Consumer Packaged Goods,Other,Manager
Senior Brand Manager,Management,Manager
Assistant Brand Manager Paper Products and Foods Divisions,"Management,Products",Manager
Senior Vice President Business Development,"Management,Business",Executive
Collaborator,Other,Other
Executive Director Programming Acquisitions,Management,Executive
Media Strategist Collaborator,Strategy,Other
Consultant,Consultant Services,Consultant
Executive Vice President Programming VH1 VH1 Classic and Palladia,Management,Executive
Programming Consultant SVOD,Consultant Services,Consultant
Business Owner,Business,Other
Chief Executive Officer,Management,Executive
Partner Founder,Management,Executive
Vice President Product Management,"Management,Products",Executive
Digital Director Brides,Other,Manager
Advisor - Strategy and Business Development,"Business,Strategy",Consultant
Vice President Global Business Development,"Management,Business",Executive
Global Head of New Business Development,Business,Other
Chief Executive Officer Managing Director,Management,Executive
General Manager Cloud Solutions Group,Management,Manager
General Manager Global New Business Development,"Management,Business",Manager
Partner Global Head of Financial Services Infrastructure Advisory and Benchmarking Group,"Management,Services,Finances",Executive
Partner Head of Management Consulting Division and Corporate Strategy,"Consultant Services,Management,Strategy",Executive
Capital Markets Executive,"Management,Marketing",Executive
Managing Partner or Head of Business Development North America,"Management,Business",Executive
Public Relations and Corporate Communications Director,Other,Manager
Deputy Chief Information Officer,Management,Executive
Deputy CIO,Other,Other
Talent Partner,"Management,HR",Executive
Chief Technology Officer,Management,Executive
Chief Technology Officer,Management,Executive
Vice President Strategic Market Development,"Management,Marketing,Strategy",Executive
Senior Vice President Institutional Services Marketing,"Management,Services,Marketing",Executive
Founder,Management,Other
President,Management,Executive
Founder,Management,Other
Advisor,Other,Consultant
President,Management,Executive
Creator and Facilitator,Other,Other
Head of Mobile,Other,Other
ED Process and Technology Improvement,Other,Other
Partnerships,Management,Executive
Vice President Business Development,"Management,Business",Executive
Vice President General Manager Global Beverage Group Hydration,Management,Executive
Vice President of Marketing North America Water Division,"Management,Marketing",Executive
Senior Brand Director Heineken,Other,Manager
Global Executive Director New Brand and Business Marketing and Development BeautyBank,"Management,Business,Marketing",Executive
Marketing Director BeautyBank EMEA,Marketing,Manager
Executive Vice President CMO,Management,Executive
Chief Technology Officer,Management,Executive
Chief Revenue Officer,Management,Executive
Vice President Media,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Publisher,Other,Other
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
President Americas,Management,Executive
Executive Vice President and Head of Small Business Bank,"Management,Business",Executive
Executive Vice President Chief Marketing Officer,"Management,Marketing",Executive
Executive Vice President Treasury Management Sales Manager,"Management,Sales",Executive
Executive Vice President Treasury Management Sales Manager,"Management,Sales",Executive
Chief Technology Officer,Management,Executive
Vice President TheInfoPro,Management,Executive
Chief Technology Officer,Management,Executive
Vice President,Management,Executive
Strategist Enterprise Architecture,"IT,Strategy",Other
Vice President CA Message Manager Development,Management,Executive
Vice President Storage Management Business,"Management,Business",Executive
Vice President,Management,Executive
Manager Technical Services,"Management,Services",Manager
Manager Technical Services,"Management,Services",Manager
Senior Product Manager,"Management,Products",Manager
Board of Directors,Other,Manager
Senior Enterprise Account Executive Strategic M&E Accounts,"Management,Strategy",Executive
Markets Integrated Planning Director,Marketing,Manager
Director of Affiliate Operations and Ad Sales,"Operations,Sales",Manager
Chief Finance Officer,"Management,Finances",Executive
Senior Vice President and General Manager,Management,Executive
Senior Director Strategy and Business Development,"Business,Strategy",Manager
Co-Founder and Chief Technology Officer,Management,Executive
Board Member,Other,Other
Member of the Board of Trustees,Other,Other
Vice President Sales,"Management,Sales",Executive
Director Leadership Staffing,Other,Manager
Vice President and General Manager - Sales | SaaS | Software | Services| Biometrics | Platforms,"Sales,Services,Management,IT",Executive
Vice President and General Manager - Sales | Software | Services| Biometrics,"Sales,Services,Management,IT",Executive
Quality Director,Other,Manager
